general
certain
special
central
similar
private
foreign
various
present
natural
current
serious
popular
western
medical
primary
obvious
nuclear
regular
complex
initial
average
strange
overall
eastern
correct
perfect
liberal
subject
careful
elderly
ancient
capable
typical
crucial
massive
unknown
unusual
alright
federal
radical
outside
healthy
maximum
supreme
genuine
extreme
helpful
minimum
anxious
nervous
musical
precise
visible
distant
violent
welcome
evident
classic
illegal
intense
logical
organic
curious
gastric
digital
monthly
painful
unhappy
genetic
partial
elegant
interim
chronic
payable
premier
hostile
dynamic
notable
neutral
endless
awkward
content
seventh
coastal
immense
minimal
shallow
passive
compact
patient
wealthy
diverse
furious
useless
spatial
amateur
forward
forward
adverse
instant
lengthy
unaware
ethical
teenage
foolish
uniform
lexical
gradual
outdoor
ashamed
bizarre
secular
unclear
optical
jealous
twelfth
virtual
trivial
vicious
fragile
nominal
eternal
magical
colonic
harmful
obscure
surplus
pre-tax
factual
cynical
optimal
antique
slender
express
marital
dietary
reverse
hopeful
dubious
mucosal
fearful
graphic
ongoing
thermal
drastic
naughty
lateral
selfish
scarlet
elusive
sensory
beloved
fascist
generic
advance
corrupt
drunken
fertile
one-day
modular
invalid
optimum
veteran
frantic
pre-war
literal
tedious
stylish
unlucky
orderly
martial
woollen
outward
prudent
eminent
psychic
obscene
offline
chaotic
sincere
premium
skilful
brittle
upright
angular
elastic
mundane
extinct
postwar
hideous
unitary
unequal
cardiac
one-off
aquatic
lesbian
earnest
ghastly
festive
erratic
capital
sterile
cunning
textual
shadowy
adamant
stately
awesome
taxable
ventral
durable
buoyant
biliary
archaic
two-way
on-line
ominous
oceanic
disused
defiant
vibrant
overdue
blatant
sensual
salient
fraught
audible
soluble
routine
immoral
emotive
seismic
darling
lyrical
decimal
ceramic
devious
coeliac
hepatic
endemic
deviant
austere
tabloid
concise
widowed
captive
dormant
amiable
abusive
earthly
thirsty
vaginal
glacial
melodic
nomadic
illicit
tubular
topical
pompous
rampant
sublime
gallant
ghostly
jobless
silvery
tenuous
urinary
idyllic
arduous
one-way
onerous
worldly
radiant
inverse
scruffy
diffuse
unnamed
staunch
runaway
numeric
kinetic
uncanny
aerobic
crimson
newborn
wayward
hi-tech
genital
satanic
orbital
seminal
deictic
utopian
acrylic
oblique
spartan
caustic
unarmed
playful
unheard
through
reddish
tearful
pitiful
on-site
abreast
forlorn
conical
reliant
fateful
hapless
inhuman
callous
pivotal
cryptic
weighty
copious
prickly
apricot
viscous
belated
fervent
frontal
lenient
envious
noxious
emerald
mindful
unmoved
wishful
tactful
botanic
pungent
maximal
genteel
cursory
valiant
mammoth
tsarist
evasive
defunct
low-key
elitist
nightly
genomic
onshore
squalid
languid
low-end
furtive
macabre
unclean
lovable
nucleic
twofold
raucous
ambient
savoury
shapely
tactile
prosaic
moorish
age-old
wistful
phantom
all-out
comical
rickety
unaided
igneous
offside
hurtful
onstage
topless
restful
suspect
diurnal
courtly
opulent
low-fat
berserk
beastly
red-hot
movable
plenary
riotous
concave
gaseous
fibrous
surreal
zealous
crustal
retinal
unkempt
moonlit
affable
haughty
thyroid
hateful
unsound
inbuilt
balding
sketchy
tensile
tenable
far-off
cordial
aqueous
tabular
amorous
dutiful
lawless
bullish
demonic
vintage
flowery
haggard
insular
lunatic
legible
nascent
brusque
stellar
ascetic
crunchy
saintly
springy
head-on
phallic
uptight
pent-up
ruinous
angelic
squeaky
masonic
servile
scrappy
sequent
martian
hearted
helical
abysmal
idiotic
untried
girlish
replete
osmotic
irksome
baleful
warlike
variant
titanic
hellish
sizable
made-up
panicky
laconic
deathly
spindly
scrawny
asexual
bipolar
thrifty
kindred
fatuous
anaemic
cockney
longish
seaward
rubbery
inshore
topmost
humdrum
undated
unloved
porcine
erudite
sinuous
swarthy
velvety
heinous
nitrous
bulbous
robotic
splenic
chuffed
zig-zag
pyloric
enteric
cursive
